Category,Item Name,Price
Pizza Station,Love In The Forest (NYS),500
Pasta,Exotic Pink Penne,350
Extras,Parcel,20
Classic Espresso Bar,Tonic Water With Double Espresso,250
Frappe To Go,Extra Chocolate,60
Milk Shakes,Coffee Cheesecake Shake,300
Healthy Juices,Abo,250
Fries Corner,Extra Dip,40
Craft Mocktails,Mango Chilli Cooler,280
Craft Mocktails,Strawberry Espresso Tonic,260
Milk Shakes,Rose Pistachio Shake,340
Matcha,Caramel Matcha Latte,270
Iced Teas,Green Apple Iced Tea,200
Craft Mocktails,Raspberry Lemonade,250
Brewed Coffees,Fizzy Coconut Cold Brew,260
Extras,Honey,40
Desserts,Bento Cheese Cake,1200
Beverage Companions,Pesto Ricotta Toast,300
Extras,Ginger Ale,110
Craft Mocktails,Honey Coconut Espresso,280
Extras,Add On,30
Iced Teas,Earl Grey Ice Tea,250
Open Item,Open Item,0
Desserts,Waffle,0
Desserts,Waffle (Belgian),240
Desserts,Waffle (nutella),240
Desserts,Waffle (oreo),240
Desserts,Tiramisu,0
Desserts,Tiramisu (Classic Tiramisu),250
Desserts,Tiramisu (Blueberry Tiramisu),280
Desserts,Tiramisu (Red Velvet Tiramisu),280
Desserts,Cheese Cake,0
Desserts,Cheese Cake (Blueberry Cheese Cake),250
Desserts,Cheese Cake (Lotus Biscoff Cheese Cake),250
Desserts,Cheese Cake (Nutella Cheese Cake),250
Desserts,Cheese Cake (Strawberry Cheese Cake),250
Desserts,Cheese Cake (Mango Cheese Cake),280
Milk Shakes,Red Velvet  Shake,300
Pizza Station,Nine Fifty Signature,0
Pizza Station,Nine Fifty Signature (NYS),490
Pizza Station,Nine Fifty Signature (NEO),540
Pizza Station,Farmville,0
Pizza Station,Farmville (NYS),480
Pizza Station,Farmville (NEO),530
Pizza Station,Exotic,0
Pizza Station,Exotic (NYS),460
Pizza Station,Exotic (NEO),510
Pizza Station,Classic Margarita,0
Pizza Station,Classic Margarita (NYS),400
Pizza Station,Classic Margarita (NEO),450
Pizza Station,Four Cheese,0
Pizza Station,Four Cheese (NYS),450
Pizza Station,Four Cheese (NEO),500
Pizza Station,Panner Tikka,0
Pizza Station,Panner Tikka (NYS),470
Pizza Station,Panner Tikka (NEO),520
Pizza Station,Pestomania,0
Pizza Station,Pestomania (NYS),440
Pizza Station,Pestomania (NEO),490
Pizza Station,Cheese Corn,0
Pizza Station,Cheese Corn (NYS),400
Pizza Station,Cheese Corn (NEO),450
Craft Coffees,Honey Cinnamon Latte,270
Brewed Coffees,Cranberry Cold Brew,250
Craft Mocktails,Breeze,280
Craft Mocktails,Daydream,300
Milk Shakes,Caramel Hazelnut Shake,320
Pasta,Caramelised Onion & Garlic Spaghetti,370
Calzone,Jalapeno & Corn Calzone,350
Bites For Sides,Sourdough Four Cheese Toast,340
Craft Mocktails,Green Apple Espresso Spritz,260
Pizza Station,Pizza Customisation,50
